Unnamed: 0,Site_name,Project_name,Workbook_name,Dashboard_name,Sheet_name,Datasource_name,Database_name,Database_connection,Number of columns,Column_name,Table_name,Description
0,890Portal,Default,CMO_Dashboard,Dashboard 1,Downloads,Sheet1 (Transactions),Transactions.xlsx,excel-direct,6,"Date,Month,Source,Year,Campaign,Asset_Download","First,First,First,First,First,First","The sheet named ""Downloads"" in the Tableau dashboard ""Dashboard 1"" displays data related to asset downloads. The data is sourced from a datasource named ""Sheet1 (Transactions)"" which is connected to an Excel database named ""Transactions.xlsx"" using a direct connection. The sheet has 6 columns named Date, Month, Source, Year, Campaign, and Asset_Download. The table name for all the columns is ""First"". The sheet provides insights into the number of asset downloads based on various parameters such as date, month, source, year, campaign, and asset type."
1,890Portal,Default,CMO_Dashboard,Dashboard 1,Front,Sheet1 (Transactions),Transactions.xlsx,excel-direct,4,"Month,Source,Year,Campaign","First,First,First,First","The sheet named ""Front"" in the Dashboard 1 of the CMO_Dashboard workbook in the Default project of the 890Portal site is based on a datasource named ""Sheet1 (Transactions)"" which is connected to an Excel database named ""Transactions.xlsx"" using the ""excel-direct"" connection. The sheet contains data with 4 columns named Month, Source, Year, and Campaign and the table name for all the columns is ""First"". Without further information on the data, it is difficult to provide a summary of the sheet."
2,890Portal,Default,CMO_Dashboard,Dashboard 1,Unique_Visitor,Sheet1 (Transactions),Transactions.xlsx,excel-direct,6,"Date,Month,Source,Year,Campaign,Asset_Purchase","First,First,First,First,First,First","The sheet named ""Unique_Visitor"" in the workbook ""CMO_Dashboard"" contains data related to transactions. The data is sourced from the ""Sheet1"" datasource, which is connected to an Excel file named ""Transactions.xlsx"" through a direct Excel connection. The sheet has 6 columns with the following names: Date, Month, Source, Year, Campaign, and Asset_Purchase. The table name for all columns is ""First"". The sheet likely contains information on unique visitors to a website or platform, broken down by various dimensions such as source, campaign, and asset purchase."
3,890Portal,Default,CMO_Dashboard,Dashboard 1,Active_User,Sheet1 (Transactions),Transactions.xlsx,excel-direct,8,"Date,Month,Source,Year,Brwse,Campaign,Asset_Brwse,Prchse_Index","First,First,First,First,First,First,First,First","The sheet named ""Active_User"" in the ""CMO_Dashboard"" workbook provides information related to transactions from a database named ""Transactions.xlsx"". The sheet has 8 columns named Date, Month, Source, Year, Brwse, Campaign, Asset_Brwse, and Prchse_Index. The table name for all the columns is ""First"". The data in this sheet is used to create a dashboard named ""Dashboard 1"" in the ""Default"" project of the ""890Portal"" site. The dashboard is designed to provide insights into the active users of the product/service being tracked."
4,890Portal,Default,CMO_Dashboard,Dashboard 1,Biz_Generated,Sheet1 (Transactions),Transactions.xlsx,excel-direct,7,"Date,Month,Source,Year,Tot_Asset,Campaign,Asset_Purchase","First,First,First,First,First,First,First","The sheet named ""Biz_Generated"" in the workbook ""CMO_Dashboard"" contains data from the datasource ""Sheet1 (Transactions)"" which is sourced from the database ""Transactions.xlsx"". The sheet has 7 columns named Date, Month, Source, Year, Tot_Asset, Campaign, and Asset_Purchase. The table name for all the columns is ""First"". The data in this sheet is related to transactions and includes information such as the date, source, campaign, and total assets purchased. The dashboard ""Dashboard 1"" is created using this sheet and provides insights into the transaction data."
5,890Portal,Default,CMO_Dashboard,Dashboard 1,No_Transactions,Sheet1 (Transactions),Transactions.xlsx,excel-direct,6,"Date,Month,Source,Year,Campaign,Asset_Purchase","First,First,First,First,First,First","The sheet named ""No_Transactions"" in the workbook ""CMO_Dashboard"" contains data from the datasource ""Sheet1 (Transactions)"" which is sourced from the database ""Transactions.xlsx"" connected through the ""excel-direct"" connection. The sheet has 6 columns named Date, Month, Source, Year, Campaign, and Asset_Purchase. The table name for all columns is ""First"". Without further information, it is not possible to provide a summary of the data in the sheet."
6,890Portal,Default,CMO_Dashboard,Reach,Back_Button,Sheet1 (Transactions),Transactions.xlsx,excel-direct,4,"Month,Source,Year,Campaign","First,First,First,First","The sheet named ""Back_Button"" in the ""CMO_Dashboard"" workbook displays data from the ""Transactions"" datasource, which is an Excel file named ""Transactions.xlsx"". The data has four columns named Month, Source, Year, and Campaign. The table name for all four columns is ""First"". The sheet likely displays information related to marketing campaigns, including the month and year the campaign took place, the source of the campaign, and the name of the campaign. The purpose of the sheet is unclear from the metadata provided."
7,890Portal,Default,CMO_Dashboard,Reach,Front,Sheet1 (Transactions),Transactions.xlsx,excel-direct,4,"Month,Source,Year,Campaign","First,First,First,First","The sheet named ""Front"" in the ""CMO_Dashboard"" workbook displays data from the ""Transactions"" datasource, which is stored in the ""Transactions.xlsx"" database. The data contains information on the month, source, year, and campaign for each transaction. The sheet has four columns and the table name for each column is ""First"". Without more information on the specific data in the sheet, it is difficult to provide a more detailed summary."
8,890Portal,Default,CMO_Dashboard,Reach,Bounce Rate,Sheet1 (Transactions),Transactions.xlsx,excel-direct,8,"Date,Month,Source,Year,Homepage,Visit,Campaign,New","First,First,First,First,Reach,Reach,First,Reach","The sheet named ""Bounce Rate"" in the workbook ""CMO_Dashboard"" provides data related to the bounce rate of website visitors. The data is sourced from the datasource named ""Sheet1 (Transactions)"" which is connected to the database ""Transactions.xlsx"" using the connection ""excel-direct"". The sheet contains 8 columns with the following names: Date, Month, Source, Year, Homepage, Visit, Campaign, and New. The table name for the columns varies with some being named ""First"" and others being named ""Reach"". Overall, the sheet provides insights into the bounce rate of website visitors across different sources, campaigns, and time periods."
9,890Portal,Default,CMO_Dashboard,Reach,Page View,Sheet1 (Transactions),Transactions.xlsx,excel-direct,9,"Date,Month,Source,Year,Page,Visit,Campaign,Visit_Type,New","First,First,First,First,Reach,Reach,First,Reach,Reach","The sheet named ""Page View"" in the workbook ""CMO_Dashboard"" provides data related to page views, including information such as the date, month, source, year, page, visit, campaign, visit type, and whether the visit was new or returning. The data is sourced from a datasource named ""Sheet1"" which is connected to an Excel database named ""Transactions.xlsx"" using a direct Excel connection. The table name for the data varies depending on the column, with some columns belonging to a table named ""First"" and others belonging to a table named ""Reach"". Overall, this sheet provides important metrics for analyzing website traffic and visitor behavior."
