Unnamed: 0,Site_name,Project_name,Workbook_name,Dashboard_name,Sheet_name,Datasource_name,Database_name,Database_connection,Number of columns,Column_name,Table_name,Description
0,890Portal,Default,CMO_Dashboard-WIP,Reach,Bounce Rate,Sheet1 (Transactions),Transactions.xlsx,excel-direct,8,"Month,Campaign,Visit,Year,Source,Date,Homepage,New","First,First,Reach,First,First,First,Reach,Reach","The sheet named ""Bounce Rate"" in the workbook ""CMO_Dashboard-WIP"" provides data related to the reach of a campaign. The data is sourced from a datasource named ""Sheet1 (Transactions)"" which is connected to an Excel database named ""Transactions.xlsx"" through a direct connection named ""excel-direct"". The sheet has 8 columns with the following names - Month, Campaign, Visit, Year, Source, Date, Homepage, and New. The table has two distinct names - ""First"" and ""Reach"" for different columns. The sheet provides information on the bounce rate of the campaign, which is the percentage of visitors who leave the website after viewing only one page."
1,890Portal,Default,CMO_Dashboard-WIP,Reach,Back_Button,Sheet1 (Transactions),Transactions.xlsx,excel-direct,4,"Month,Campaign,Year,Source","First,First,First,First","The sheet named ""Back_Button"" in the Tableau dashboard ""Reach"" is based on a datasource named ""Sheet1 (Transactions)"" which is connected to an Excel database named ""Transactions.xlsx"" through a direct Excel connection. The sheet contains data on four columns - Month, Campaign, Year, and Source - with a total of four tables named ""First"" for each column. Without further information on the data, it is difficult to provide a summary of the sheet's contents."
2,890Portal,Default,CMO_Dashboard-WIP,Reach,Page View,Sheet1 (Transactions),Transactions.xlsx,excel-direct,9,"Month,Campaign,Visit,Year,Source,Visit_Type,Date,New,Page","First,First,Reach,First,First,Reach,First,Reach,Reach","The sheet named ""Page View"" in the workbook ""CMO_Dashboard-WIP"" contains data related to page views. The data is sourced from a datasource named ""Sheet1 (Transactions)"" which is connected to an Excel database named ""Transactions.xlsx"" through a direct connection named ""excel-direct"". The sheet has 9 columns with the following names - Month, Campaign, Visit, Year, Source, Visit_Type, Date, New, and Page. The table has three distinct names - First, Reach, and New. The data in this sheet is used to create a dashboard named ""Reach"" in the project named ""Default"" on the site named ""890Portal""."
3,890Portal,Default,CMO_Dashboard-WIP,Reach,Visits,Sheet1 (Transactions),Transactions.xlsx,excel-direct,6,"Month,Campaign,Year,Source,Visit_Type,Date","First,First,First,First,Reach,First","The sheet named ""Visits"" in the workbook ""CMO_Dashboard-WIP"" contains data on visits to a website. The data is sourced from a datasource named ""Sheet1"" which is connected to an Excel database named ""Transactions.xlsx"" using a direct connection method. The sheet has 6 columns with the following names: Month, Campaign, Year, Source, Visit_Type, and Date. The table name for the columns is ""First"" for all columns except for the ""Visit_Type"" column which is named ""Reach"". The dashboard is named ""Reach"" and is located in the Default project on the 890Portal site."
4,890Portal,Default,CMO_Dashboard-WIP,Promotion Effect,Back_Button,Sheet1 (Transactions),Transactions.xlsx,excel-direct,4,"Month,Campaign,Year,Source","First,First,First,First","The sheet named ""Back_Button"" in the ""CMO_Dashboard-WIP"" workbook contains data from the ""Transactions"" datasource, which is stored in an Excel file named ""Transactions.xlsx"". The data has 4 columns named Month, Campaign, Year, and Source. The table name for all columns is ""First"". Without more information about the data, it is difficult to provide a summary of the sheet's contents."
5,890Portal,Default,CMO_Dashboard-WIP,Promotion Effect,Leads Campaign,Sheet1 (Transactions),Transactions.xlsx,excel-direct,6,"Month,User Segment,Campaign,Year,Source,Campaign","First,Promotion,First,First,First,Promotion","The sheet named ""Leads Campaign"" in the ""Transactions.xlsx"" database contains data related to leads generated from various campaigns. The data is organized into six columns, including Month, User Segment, Campaign, Year, Source, and Campaign. The table name for this sheet is ""Promotion"" and it is part of the ""First"" table. The dashboard ""Promotion Effect"" in the workbook ""CMO_Dashboard-WIP"" uses this data source to analyze the effectiveness of different promotional campaigns. The data is connected to Tableau using the ""excel-direct"" database connection."
6,890Portal,Default,CMO_Dashboard-WIP,Promotion Effect,Leads,Sheet1 (Transactions),Transactions.xlsx,excel-direct,7,"Month,Customer_Id,Campaign,Year,Source,Leads_Yestrdy,Leads_Tdy","First,Promotion,First,First,First,Promotion,Promotion","The sheet named ""Leads"" in the workbook ""CMO_Dashboard-WIP"" is a part of the ""Promotion Effect"" dashboard in the ""Default"" project of the ""890Portal"" site. The data for this sheet is sourced from the ""Sheet1"" of the ""Transactions.xlsx"" database using the ""excel-direct"" connection. The sheet contains 7 columns, namely Month, Customer_Id, Campaign, Year, Source, Leads_Yestrdy, and Leads_Tdy. The table names for these columns are First, Promotion, First, First, First, Promotion, and Promotion respectively. Without further information, it is difficult to provide a detailed summary of the data in the sheet."
7,890Portal,Default,CMO_Dashboard-WIP,Promotion Effect,Leads Segment,Sheet1 (Transactions),Transactions.xlsx,excel-direct,6,"Month,Customer_Id,User Segment,Campaign,Year,Source","First,First,Promotion,First,First,First","The sheet named ""Leads Segment"" in the ""CMO_Dashboard-WIP"" workbook provides data on transactions related to customer leads. The data is sourced from an Excel file named ""Transactions.xlsx"" and the connection to the file is established directly through Tableau. The sheet contains six columns, namely Month, Customer_Id, User Segment, Campaign, Year, and Source. The table name for each column is First, First, Promotion, First, First, and First respectively. The sheet likely provides insights on the effectiveness of different promotional campaigns in generating leads for the business."
8,890Portal,Default,CMO_Dashboard-WIP,Promotion Effect,Leads Product,Sheet1 (Transactions),Transactions.xlsx,excel-direct,6,"Month,User Segment,Campaign,Year,Source,Prod Type","First,Promotion,First,First,First,Promotion","The sheet named ""Leads Product"" in the ""Sheet1 (Transactions)"" datasource contains data related to leads generated by different user segments, campaigns, sources, and product types. The data is organized in six columns - Month, User Segment, Campaign, Year, Source, and Prod Type. The table name for the sheet is ""First,Promotion,First,First,First,Promotion"". The data is sourced from an Excel file named ""Transactions.xlsx"" and connected using the ""excel-direct"" connection. The sheet is a part of the ""CMO_Dashboard-WIP"" workbook in the ""Default"" project of the ""890Portal"" site. The dashboard created using this data is named ""Promotion Effect""."
9,890Portal,Default,CMO_Dashboard-WIP,Conversion,Back_Button,Sheet1 (Transactions),Transactions.xlsx,excel-direct,4,"Month,Campaign,Year,Source","First,First,First,First","The sheet named ""Back_Button"" in the Conversion dashboard of the CMO_Dashboard-WIP workbook contains data from a datasource named ""Sheet1 (Transactions)"" which is connected to an Excel file named ""Transactions.xlsx"" using a direct connection. The data has 4 columns named Month, Campaign, Year, and Source, and the table name for all columns is ""First"". Without further information, it is difficult to provide a summary of the data in the sheet."
