,Site_name,Project_name,Workbook_name,Dashboard_name,Sheet_name,Datasource_name,Database_name,Database_connection,Number of columns,Column_name,Table_name
0,890Portal,Default,CMO_Dashboard-WIP,Reach,Bounce Rate,Sheet1 (Transactions),Transactions.xlsx,excel-direct,8,"Month,Campaign,Visit,Year,Source,Date,Homepage,New","First,First,Reach,First,First,First,Reach,Reach"
1,890Portal,Default,CMO_Dashboard-WIP,Reach,Back_Button,Sheet1 (Transactions),Transactions.xlsx,excel-direct,4,"Month,Campaign,Year,Source","First,First,First,First"
2,890Portal,Default,CMO_Dashboard-WIP,Reach,Page View,Sheet1 (Transactions),Transactions.xlsx,excel-direct,9,"Month,Campaign,Visit,Year,Source,Visit_Type,Date,New,Page","First,First,Reach,First,First,Reach,First,Reach,Reach"
3,890Portal,Default,CMO_Dashboard-WIP,Reach,Visits,Sheet1 (Transactions),Transactions.xlsx,excel-direct,6,"Month,Campaign,Year,Source,Visit_Type,Date","First,First,First,First,Reach,First"
4,890Portal,Default,CMO_Dashboard-WIP,Promotion Effect,Back_Button,Sheet1 (Transactions),Transactions.xlsx,excel-direct,4,"Month,Campaign,Year,Source","First,First,First,First"
5,890Portal,Default,CMO_Dashboard-WIP,Promotion Effect,Leads Campaign,Sheet1 (Transactions),Transactions.xlsx,excel-direct,6,"Month,User Segment,Campaign,Year,Source,Campaign","First,Promotion,First,First,First,Promotion"
6,890Portal,Default,CMO_Dashboard-WIP,Promotion Effect,Leads,Sheet1 (Transactions),Transactions.xlsx,excel-direct,7,"Month,Customer_Id,Campaign,Year,Source,Leads_Yestrdy,Leads_Tdy","First,Promotion,First,First,First,Promotion,Promotion"
7,890Portal,Default,CMO_Dashboard-WIP,Promotion Effect,Leads Segment,Sheet1 (Transactions),Transactions.xlsx,excel-direct,6,"Month,Customer_Id,User Segment,Campaign,Year,Source","First,First,Promotion,First,First,First"
8,890Portal,Default,CMO_Dashboard-WIP,Promotion Effect,Leads Product,Sheet1 (Transactions),Transactions.xlsx,excel-direct,6,"Month,User Segment,Campaign,Year,Source,Prod Type","First,Promotion,First,First,First,Promotion"
9,890Portal,Default,CMO_Dashboard-WIP,Conversion,Back_Button,Sheet1 (Transactions),Transactions.xlsx,excel-direct,4,"Month,Campaign,Year,Source","First,First,First,First"
10,890Portal,Default,CMO_Dashboard-WIP,Conversion,Campaign Conv,Sheet1 (Transactions),Transactions.xlsx,excel-direct,6,"Customer_Id,Month,Campaign,Year,Source,Campaign","Conversion,First,First,First,First,Conversion"
11,890Portal,Default,CMO_Dashboard-WIP,Conversion,Revenue,Sheet1 (Transactions),Transactions.xlsx,excel-direct,7,"Revenue_Type,Month,Campaign,Year,Source,Date,Revenue_Tot","Conversion,First,First,First,First,First,Conversion"
12,890Portal,Default,CMO_Dashboard-WIP,Conversion,Order_Conv,Sheet1 (Transactions),Transactions.xlsx,excel-direct,6,"Month,Campaign,Visit,Year,Order,Source","First,First,Reach,First,Reach,First"
13,890Portal,Default,CMO_Dashboard-WIP,Conversion,Buyer_Conv,Sheet1 (Transactions),Transactions.xlsx,excel-direct,6,"Month,Campaign,Year,Order,Customer_Id,Source","First,First,First,Reach,Reach,First"
14,890Portal,Default,CMO_Dashboard-WIP,Conversion,Product Conv,Sheet1 (Transactions),Transactions.xlsx,excel-direct,6,"Customer_Id,Prod Type,Month,Campaign,Year,Source","Conversion,Conversion,First,First,First,First"
15,890Portal,Default,CMO_Dashboard,Dashboard 1,Downloads,Sheet1 (Transactions),Transactions.xlsx,excel-direct,6,"Date,Month,Source,Year,Campaign,Asset_Download","First,First,First,First,First,First"
16,890Portal,Default,CMO_Dashboard,Dashboard 1,Front,Sheet1 (Transactions),Transactions.xlsx,excel-direct,4,"Month,Source,Year,Campaign","First,First,First,First"
17,890Portal,Default,CMO_Dashboard,Dashboard 1,Unique_Visitor,Sheet1 (Transactions),Transactions.xlsx,excel-direct,6,"Date,Month,Source,Year,Campaign,Asset_Purchase","First,First,First,First,First,First"
18,890Portal,Default,CMO_Dashboard,Dashboard 1,Active_User,Sheet1 (Transactions),Transactions.xlsx,excel-direct,8,"Date,Month,Source,Year,Brwse,Campaign,Asset_Brwse,Prchse_Index","First,First,First,First,First,First,First,First"
19,890Portal,Default,CMO_Dashboard,Dashboard 1,Biz_Generated,Sheet1 (Transactions),Transactions.xlsx,excel-direct,7,"Date,Month,Source,Year,Tot_Asset,Campaign,Asset_Purchase","First,First,First,First,First,First,First"
20,890Portal,Default,CMO_Dashboard,Dashboard 1,No_Transactions,Sheet1 (Transactions),Transactions.xlsx,excel-direct,6,"Date,Month,Source,Year,Campaign,Asset_Purchase","First,First,First,First,First,First"
21,890Portal,Default,CMO_Dashboard,Reach,Back_Button,Sheet1 (Transactions),Transactions.xlsx,excel-direct,4,"Month,Source,Year,Campaign","First,First,First,First"
22,890Portal,Default,CMO_Dashboard,Reach,Front,Sheet1 (Transactions),Transactions.xlsx,excel-direct,4,"Month,Source,Year,Campaign","First,First,First,First"
23,890Portal,Default,CMO_Dashboard,Reach,Bounce Rate,Sheet1 (Transactions),Transactions.xlsx,excel-direct,8,"Date,Month,Source,Year,Homepage,Visit,Campaign,New","First,First,First,First,Reach,Reach,First,Reach"
24,890Portal,Default,CMO_Dashboard,Reach,Page View,Sheet1 (Transactions),Transactions.xlsx,excel-direct,9,"Date,Month,Source,Year,Page,Visit,Campaign,Visit_Type,New","First,First,First,First,Reach,Reach,First,Reach,Reach"
25,890Portal,Default,CMO_Dashboard,Reach,Visits,Sheet1 (Transactions),Transactions.xlsx,excel-direct,6,"Date,Month,Source,Year,Campaign,Visit_Type","First,First,First,First,First,Reach"
