,Site_name,Project_name,Workbook_name,Dashboard_name,Datasource_name,Database_name,Database_connection,Column_name,Table_name
795,890Portal,Default,Covid 19 External V6,Geo Industry Risk,Account Risk (Copy of risk_Tab),Copy of risk_Tab v2.xlsx,excel-direct,Expected Impact on Capgemini,Account Risk$
793,890Portal,Default,Covid 19 External V6,Geo Industry Risk,Account Risk (Copy of risk_Tab),Copy of risk_Tab v2.xlsx,excel-direct,Industry,Account Risk$
696,890Portal,Default,Covid 19 External V6,Executive Dashboard,Account Risk (Copy of risk_Tab),Copy of risk_Tab v2.xlsx,excel-direct,Industry,Account Risk$
697,890Portal,Default,Covid 19 External V6,Executive Dashboard,Account Risk (Copy of risk_Tab),Copy of risk_Tab v2.xlsx,excel-direct,Client,Account Risk$
698,890Portal,Default,Covid 19 External V6,Executive Dashboard,Account Risk (Copy of risk_Tab),Copy of risk_Tab v2.xlsx,excel-direct,News Mentions,Account Risk$
794,890Portal,Default,Covid 19 External V6,Geo Industry Risk,Account Risk (Copy of risk_Tab),Copy of risk_Tab v2.xlsx,excel-direct,Country,Account Risk$
728,890Portal,Default,Covid 19 External V6,Executive Dashboard,Account Risk (Copy of risk_Tab),Copy of risk_Tab v2.xlsx,excel-direct,Impact,Account Risk$
737,890Portal,Default,Covid 19 External V6,Account Risk,Account Risk (Copy of risk_Tab),Copy of risk_Tab v2.xlsx,excel-direct,Industry,Account Risk$
792,890Portal,Default,Covid 19 External V6,Geo Industry Risk,Account Risk (Copy of risk_Tab),Copy of risk_Tab v2.xlsx,excel-direct,Impact,Account Risk$
790,890Portal,Default,Covid 19 External V6,Geo Industry Risk,Account Risk (Copy of risk_Tab),Copy of risk_Tab v2.xlsx,excel-direct,Client,Account Risk$
791,890Portal,Default,Covid 19 External V6,Geo Industry Risk,Account Risk (Copy of risk_Tab),Copy of risk_Tab v2.xlsx,excel-direct,News Mentions,Account Risk$
1198,890Portal,Default,Backtest Asset Allocation Dashboard v3,Asset Allocation,Annual returns (Asset Allocation Data),Asset Allocation Data v1.xlsx,excel-direct,Client,Asset Allocation$
1197,890Portal,Default,Backtest Asset Allocation Dashboard v3,Asset Allocation,Annual returns (Asset Allocation Data),Asset Allocation Data v1.xlsx,excel-direct,Asset Class,Asset Allocation$
1195,890Portal,Default,Backtest Asset Allocation Dashboard v3,Asset Allocation,Annual returns (Asset Allocation Data),Asset Allocation Data v1.xlsx,excel-direct,Target Allocation  (%),Asset Allocation$
1199,890Portal,Default,Backtest Asset Allocation Dashboard v3,Asset Allocation,Annual returns (Asset Allocation Data),Asset Allocation Data v1.xlsx,excel-direct,Actual Allocation (%),Asset Allocation$
1205,890Portal,Default,Backtest Asset Allocation Dashboard v3,Portfolio Performance,Annual returns (Asset Allocation Data),Asset Allocation Data v1.xlsx,excel-direct,Performance Values,Portfolio Performance$
1206,890Portal,Default,Backtest Asset Allocation Dashboard v3,Portfolio Performance,Annual returns (Asset Allocation Data),Asset Allocation Data v1.xlsx,excel-direct,Metric,Portfolio Performance$
1207,890Portal,Default,Backtest Asset Allocation Dashboard v3,Portfolio Performance,Annual returns (Asset Allocation Data),Asset Allocation Data v1.xlsx,excel-direct,Client,Annual returns$
1218,890Portal,Default,Backtest Asset Allocation Dashboard v3,Annual Returns and Balance Data,Annual returns (Asset Allocation Data),Asset Allocation Data v1.xlsx,excel-direct,Client,Annual returns$
1212,890Portal,Default,Backtest Asset Allocation Dashboard v3,Portfolio Growth and Returns,Annual returns (Asset Allocation Data),Asset Allocation Data v1.xlsx,excel-direct,Client,Annual returns$
1260,890Portal,Default,Backtest Asset Allocation Dashboard v3,Rolling Returns Analysis,Annual returns (Asset Allocation Data),Asset Allocation Data v1.xlsx,excel-direct,Client,Rolling Returns$
1261,890Portal,Default,Backtest Asset Allocation Dashboard v3,Rolling Returns Trend,Annual returns (Asset Allocation Data),Asset Allocation Data v1.xlsx,excel-direct,Annualized return,Rolling Returns$
1262,890Portal,Default,Backtest Asset Allocation Dashboard v3,Rolling Returns Trend,Annual returns (Asset Allocation Data),Asset Allocation Data v1.xlsx,excel-direct,Year,Annual returns$
1263,890Portal,Default,Backtest Asset Allocation Dashboard v3,Rolling Returns Trend,Annual returns (Asset Allocation Data),Asset Allocation Data v1.xlsx,excel-direct,Rolling Period (Years),Rolling Returns$
1264,890Portal,Default,Backtest Asset Allocation Dashboard v3,Rolling Returns Trend,Annual returns (Asset Allocation Data),Asset Allocation Data v1.xlsx,excel-direct,Client,Rolling Returns$
1239,890Portal,Default,Backtest Asset Allocation Dashboard v3,Drawdowns,Annual returns (Asset Allocation Data),Asset Allocation Data v1.xlsx,excel-direct,Start,Drawdowns for Historical Market$
1238,890Portal,Default,Backtest Asset Allocation Dashboard v3,Drawdowns,Annual returns (Asset Allocation Data),Asset Allocation Data v1.xlsx,excel-direct,End,Drawdowns for Historical Market$
1237,890Portal,Default,Backtest Asset Allocation Dashboard v3,Drawdowns,Annual returns (Asset Allocation Data),Asset Allocation Data v1.xlsx,excel-direct,Drawdowns (%),Drawdowns for Historical Market$
1236,890Portal,Default,Backtest Asset Allocation Dashboard v3,Drawdowns,Annual returns (Asset Allocation Data),Asset Allocation Data v1.xlsx,excel-direct,Client,Annual returns$
1235,890Portal,Default,Backtest Asset Allocation Dashboard v3,Drawdowns,Annual returns (Asset Allocation Data),Asset Allocation Data v1.xlsx,excel-direct,Stress Period,Drawdowns for Historical Market$
1234,890Portal,Default,Backtest Asset Allocation Dashboard v3,Drawdowns,Annual returns (Asset Allocation Data),Asset Allocation Data v1.xlsx,excel-direct,Recovery By,Worst 10 Drawdowns$
1233,890Portal,Default,Backtest Asset Allocation Dashboard v3,Drawdowns,Annual returns (Asset Allocation Data),Asset Allocation Data v1.xlsx,excel-direct,Start,Worst 10 Drawdowns$
1232,890Portal,Default,Backtest Asset Allocation Dashboard v3,Drawdowns,Annual returns (Asset Allocation Data),Asset Allocation Data v1.xlsx,excel-direct,End,Worst 10 Drawdowns$
1193,890Portal,Default,Backtest Asset Allocation Dashboard v3,Asset Allocation,Annual returns (Asset Allocation Data),Asset Allocation Data v1.xlsx,excel-direct,Client,Annual returns$
1231,890Portal,Default,Backtest Asset Allocation Dashboard v3,Drawdowns,Annual returns (Asset Allocation Data),Asset Allocation Data v1.xlsx,excel-direct,Rank,Worst 10 Drawdowns$
1228,890Portal,Default,Backtest Asset Allocation Dashboard v3,Drawdowns,Annual returns (Asset Allocation Data),Asset Allocation Data v1.xlsx,excel-direct,Recovery Time,Worst 10 Drawdowns$
1227,890Portal,Default,Backtest Asset Allocation Dashboard v3,Drawdowns,Annual returns (Asset Allocation Data),Asset Allocation Data v1.xlsx,excel-direct,Underwater Period,Worst 10 Drawdowns$
1226,890Portal,Default,Backtest Asset Allocation Dashboard v3,Drawdowns,Annual returns (Asset Allocation Data),Asset Allocation Data v1.xlsx,excel-direct,Drawdown (%),Worst 10 Drawdowns$
1222,890Portal,Default,Backtest Asset Allocation Dashboard v3,Annual Returns and Balance Data,Annual returns (Asset Allocation Data),Asset Allocation Data v1.xlsx,excel-direct,Inflation (%),Annual returns$
1221,890Portal,Default,Backtest Asset Allocation Dashboard v3,Annual Returns and Balance Data,Annual returns (Asset Allocation Data),Asset Allocation Data v1.xlsx,excel-direct,Returns (%),Annual returns$
1220,890Portal,Default,Backtest Asset Allocation Dashboard v3,Annual Returns and Balance Data,Annual returns (Asset Allocation Data),Asset Allocation Data v1.xlsx,excel-direct,Balance,Annual returns$
1219,890Portal,Default,Backtest Asset Allocation Dashboard v3,Annual Returns and Balance Data,Annual returns (Asset Allocation Data),Asset Allocation Data v1.xlsx,excel-direct,Year,Annual returns$
1217,890Portal,Default,Backtest Asset Allocation Dashboard v3,Portfolio Growth and Returns,Annual returns (Asset Allocation Data),Asset Allocation Data v1.xlsx,excel-direct,Balance,Annual returns$
1216,890Portal,Default,Backtest Asset Allocation Dashboard v3,Portfolio Growth and Returns,Annual returns (Asset Allocation Data),Asset Allocation Data v1.xlsx,excel-direct,Year,Annual returns$
1214,890Portal,Default,Backtest Asset Allocation Dashboard v3,Portfolio Growth and Returns,Annual returns (Asset Allocation Data),Asset Allocation Data v1.xlsx,excel-direct,Returns (%),Annual returns$
1230,890Portal,Default,Backtest Asset Allocation Dashboard v3,Drawdowns,Annual returns (Asset Allocation Data),Asset Allocation Data v1.xlsx,excel-direct,Length,Worst 10 Drawdowns$
1189,890Portal,Default,Backtest Asset Allocation Dashboard,Rolling Returns Trend,Annual returns (Asset Allocation Data),Asset Allocation Data v1.xlsx,excel-direct,Rolling Period (Years),Rolling Returns$
1190,890Portal,Default,Backtest Asset Allocation Dashboard,Rolling Returns Trend,Annual returns (Asset Allocation Data),Asset Allocation Data v1.xlsx,excel-direct,Client,Rolling Returns$
1144,890Portal,Default,Backtest Asset Allocation Dashboard,Annual Returns and Balance Data,Annual returns (Asset Allocation Data),Asset Allocation Data v1.xlsx,excel-direct,Client,Annual returns$
1145,890Portal,Default,Backtest Asset Allocation Dashboard,Annual Returns and Balance Data,Annual returns (Asset Allocation Data),Asset Allocation Data v1.xlsx,excel-direct,Balance,Annual returns$
1146,890Portal,Default,Backtest Asset Allocation Dashboard,Annual Returns and Balance Data,Annual returns (Asset Allocation Data),Asset Allocation Data v1.xlsx,excel-direct,Inflation (%),Annual returns$
1191,890Portal,Default,Backtest Asset Allocation Dashboard,Rolling Returns Trend,Annual returns (Asset Allocation Data),Asset Allocation Data v1.xlsx,excel-direct,Annualized return,Rolling Returns$
1151,890Portal,Default,Backtest Asset Allocation Dashboard,Drawdowns,Annual returns (Asset Allocation Data),Asset Allocation Data v1.xlsx,excel-direct,Client,Annual returns$
1152,890Portal,Default,Backtest Asset Allocation Dashboard,Drawdowns,Annual returns (Asset Allocation Data),Asset Allocation Data v1.xlsx,excel-direct,Start,Drawdowns for Historical Market$
1153,890Portal,Default,Backtest Asset Allocation Dashboard,Drawdowns,Annual returns (Asset Allocation Data),Asset Allocation Data v1.xlsx,excel-direct,Stress Period,Drawdowns for Historical Market$
1154,890Portal,Default,Backtest Asset Allocation Dashboard,Drawdowns,Annual returns (Asset Allocation Data),Asset Allocation Data v1.xlsx,excel-direct,Drawdowns (%),Drawdowns for Historical Market$
1143,890Portal,Default,Backtest Asset Allocation Dashboard,Annual Returns and Balance Data,Annual returns (Asset Allocation Data),Asset Allocation Data v1.xlsx,excel-direct,Year,Annual returns$
1155,890Portal,Default,Backtest Asset Allocation Dashboard,Drawdowns,Annual returns (Asset Allocation Data),Asset Allocation Data v1.xlsx,excel-direct,End,Drawdowns for Historical Market$
1158,890Portal,Default,Backtest Asset Allocation Dashboard,Drawdowns,Annual returns (Asset Allocation Data),Asset Allocation Data v1.xlsx,excel-direct,Recovery Time,Worst 10 Drawdowns$
1159,890Portal,Default,Backtest Asset Allocation Dashboard,Drawdowns,Annual returns (Asset Allocation Data),Asset Allocation Data v1.xlsx,excel-direct,Drawdown (%),Worst 10 Drawdowns$
1160,890Portal,Default,Backtest Asset Allocation Dashboard,Drawdowns,Annual returns (Asset Allocation Data),Asset Allocation Data v1.xlsx,excel-direct,Rank,Worst 10 Drawdowns$
1161,890Portal,Default,Backtest Asset Allocation Dashboard,Drawdowns,Annual returns (Asset Allocation Data),Asset Allocation Data v1.xlsx,excel-direct,Start,Worst 10 Drawdowns$
1162,890Portal,Default,Backtest Asset Allocation Dashboard,Drawdowns,Annual returns (Asset Allocation Data),Asset Allocation Data v1.xlsx,excel-direct,Length,Worst 10 Drawdowns$
