Measure Names,Stage,Max. 1 Tootltip (,Max. 1 Tootltip ),Measure Values,% Difference in # of Applicants (-ve),# of Applicants (Funnel)
1 Applications along Table (Down),Applications,,,"14,203",,"14,203"
2 Interviews along Table (Down),Applications,,,,,"14,203"
3 Assessments along Table (Down),Applications,,,,,"14,203"
4 Offer along Table (Down),Applications,,,,,"14,203"
5 Hires along Table (Down),Applications,,,,,"14,203"
1 Applications along Table (Down),Interviews,(,),"9,011",36.555657256%,"9,011"
2 Interviews along Table (Down),Interviews,(,),"9,011",36.555657256%,"9,011"
3 Assessments along Table (Down),Interviews,(,),,36.555657256%,"9,011"
4 Offer along Table (Down),Interviews,(,),,36.555657256%,"9,011"
5 Hires along Table (Down),Interviews,(,),,36.555657256%,"9,011"
1 Applications along Table (Down),Assessments,(,),,56.297858173%,"3,938"
2 Interviews along Table (Down),Assessments,(,),"3,938",56.297858173%,"3,938"
3 Assessments along Table (Down),Assessments,(,),"3,938",56.297858173%,"3,938"
4 Offer along Table (Down),Assessments,(,),,56.297858173%,"3,938"
5 Hires along Table (Down),Assessments,(,),,56.297858173%,"3,938"
1 Applications along Table (Down),Offer,(,),,46.140172676%,"2,121"
2 Interviews along Table (Down),Offer,(,),,46.140172676%,"2,121"
3 Assessments along Table (Down),Offer,(,),"2,121",46.140172676%,"2,121"
4 Offer along Table (Down),Offer,(,),"2,121",46.140172676%,"2,121"
5 Hires along Table (Down),Offer,(,),,46.140172676%,"2,121"
1 Applications along Table (Down),Hires,(,),,4.148986327%,"2,033"
2 Interviews along Table (Down),Hires,(,),,4.148986327%,"2,033"
3 Assessments along Table (Down),Hires,(,),,4.148986327%,"2,033"
4 Offer along Table (Down),Hires,(,),"2,033",4.148986327%,"2,033"
5 Hires along Table (Down),Hires,(,),"2,033",4.148986327%,"2,033"
