ID,Cycle Time
63175,7
246910,2
401276,3
813128,2
1307371,4
1514697,7
1541149,2
1627973,3
1780186,7
1860885,3
1900527,5
2034339,7
2051592,7
2312564,7
2688131,4
2718167,4
2723173,3
2755470,5
2885798,3
2915389,4
3029573,4
3116230,3
3136701,7
3163113,2
3246903,6
3297822,7
3385821,6
3577610,5
3660621,5
3828216,2
3988715,2
4470084,6
4747725,5
4849209,5
4985089,7
5103700,5
5268940,6
5340882,2
5489257,6
5571922,7
5707989,6
5752214,3
5849652,5
5919898,4
5941567,4
6889317,7
6993836,2
7171634,3
7249501,3
7626401,2
7884893,2
7936658,5
7945239,2
7968556,3
7979604,4
7994071,5
8166151,4
8201951,6
8249168,5
8467576,5
8563621,7
8565171,7
8572067,3
8582268,2
8649966,6
8698424,6
8761083,2
8764588,3
8890927,4
9102010,2
9283031,6
9413261,3
9479318,6
9641557,5
9644170,3
9697388,5
9794626,6
9864398,4
10042968,7
10078597,7
10083678,6
10185862,5
10483691,3
10530845,3
10599924,3
10677450,2
10755990,4
10845956,3
10901524,4
10902340,7
10931775,6
11000229,6
11634102,7
11668406,6
12064672,5
12066584,5
12136446,6
12215659,5
12233674,5
12254781,2
12404014,5
12685449,5
12742023,6
12986392,2
13143183,4
13237023,7
13250817,2
13509551,2
13647803,3
13754425,6
14008511,7
14251930,2
14285900,6
14332275,3
14412940,4
14489942,3
14617421,4
14819296,3
14827139,6
14955631,2
15025480,7
15041971,2
15089093,4
15267471,6
15387860,3
15476094,6
15637995,2
15681901,7
15882181,5
16073648,3
16084737,6
16166819,2
16186854,6
16259639,7
16380140,2
16443898,6
16446925,5
16612628,6
16978084,3
17347314,5
17384627,2
17740614,6
17859471,2
17880810,6
18096053,2
18197959,2
18235294,2
18533155,2
18552502,7
18911750,7
18937835,5
18938047,2
19049127,4
19076859,3
19168448,5
19188910,2
19445884,7
19613798,6
19658794,6
19803940,7
19821779,6
19829574,3
19890031,4
19903973,4
20057040,4
20180493,2
20341236,2
20408932,2
20506772,3
20607337,7
20619827,2
20796030,7
20854754,6
21327985,3
21443966,2
21552127,5
21582374,3
21748822,3
21806232,5
21872625,2
22219151,5
22315439,2
22340563,2
22460980,5
22527442,6
22590634,7
22725070,5
22768868,4
22774460,4
22810004,5
22824315,2
22905935,3
22955293,7
22965816,2
22977160,3
23033371,3
23140583,5
23273890,4
23309553,7
23391155,4
23505650,2
23615805,2
23624532,3
23676647,6
23694586,5
23741238,6
23757259,7
23795371,2
23899383,2
24008554,4
24038801,7
24268527,4
24303338,5
24313434,7
24505453,7
24556455,5
24617929,2
24728362,7
24759813,2
24974672,7
25199715,7
25356845,7
25417257,4
25537181,6
25561360,6
25715012,5
25773763,5
25899381,3
26009563,6
26021761,3
26115892,4
26285160,5
26465136,2
26574720,7
26770864,2
26982245,2
26998285,4
27227013,3
27280122,6
27283606,6
27330951,6
27436744,5
27596642,7
27615664,2
27678351,4
27875325,6
28378415,3
28424739,2
28456294,6
28615872,4
28711851,6
28899891,5
28977784,4
29118224,2
29121748,3
29254463,5
29304624,5
29592578,7
29607327,6
29706144,6
29775028,2
29782827,7
30002740,2
30142985,3
30148425,2
30182732,4
30227866,5
30353120,7
30429169,4
30585255,7
30585983,4
30587067,5
30946151,3
30947636,6
31091202,7
31140853,3
31185701,2
31285809,6
31306688,7
31330925,7
31728817,7
31827166,5
31882806,5
31898590,3
32032663,6
32035504,7
32293494,4
32461891,7
32463104,6
32550499,5
32831884,7
32871024,2
32992474,3
33092467,2
33104009,3
33286578,5
33367422,5
33481658,5
33544630,6
33572322,5
33602024,7
33866999,4
33902933,6
34111727,7
34269504,2
34418052,3
34434267,6
34557554,6
34682975,6
34709295,5
34880842,3
35003648,2
35012164,3
35177175,3
35225506,5
35408858,4
35513355,6
35699337,3
35738366,5
35771994,2
36109311,4
36151677,6
36167079,3
36287801,7
36289741,4
36299960,5
36324415,6
36771943,5
36849008,6
37014855,6
37074844,4
37246864,3
37267563,2
37308080,3
37340719,4
37461363,7
37477931,6
37595654,7
37848520,2
37905119,5
37965490,2
38074153,6
38101035,4
38247687,6
38364306,2
38462148,3
38828136,3
38956117,6
39001690,5
39016793,4
39111685,3
39376932,6
39392545,4
39488734,6
39686622,6
39852404,5
40149003,7
